theta1,theta2
0.81568,1.9915
0.82152,1.9765
0.82883,1.961
0.8375,1.9453
0.8474,1.9293
0.85839,1.9134
0.87032,1.8976
0.88305,1.8821
0.89643,1.8671
0.91031,1.8527
0.92455,1.839
0.93899,1.8262
0.9535,1.8144
0.96795,1.8037
0.9822,1.7942
0.99612,1.786
1.0096,1.7791
1.0225,1.7737
1.0348,1.7697
1.0464,1.7673
1.0571,1.7664
1.0669,1.7671
1.0757,1.7693
1.0834,1.773
1.0901,1.7782
1.0956,1.7848
1.0999,1.7929
1.1029,1.8022
1.1047,1.8127
1.1052,1.8244
1.1044,1.837
1.1023,1.8506
1.0989,1.8649
1.0942,1.8798
1.0883,1.8952
1.081,1.911
1.0725,1.9269
1.0629,1.9429
1.0521,1.9587
1.0402,1.9742
1.0274,1.9893
1.0138,2.0037
0.99934,2.0174
0.98429,2.0301
0.96879,2.0418
0.953,2.0522
0.9371,2.0612
0.92129,2.0689
0.90578,2.0749
0.89077,2.0793
0.87649,2.0821
0.86312,2.0831
0.85087,2.0823
0.8399,2.0798
0.83039,2.0757
0.82245,2.0699
0.81618,2.0625
0.81166,2.0536
0.80893,2.0434
0.808,2.0319
0.80885,2.0194
0.81143,2.0058
0.81568,1.9915
