theta1,theta2
0.67293,2.0373
0.67549,2.0343
0.67805,2.0313
0.68061,2.0284
0.68316,2.0254
0.68571,2.0224
0.68826,2.0194
0.6908,2.0164
0.69335,2.0134
0.69589,2.0105
0.69842,2.0075
0.70096,2.0045
0.70349,2.0015
0.70602,1.9985
0.70854,1.9954
0.71107,1.9924
0.71359,1.9894
0.71611,1.9864
0.71862,1.9834
0.72113,1.9804
0.72365,1.9773
0.72615,1.9743
0.72866,1.9713
0.73116,1.9682
0.73367,1.9652
0.73617,1.9621
0.73866,1.9591
0.74116,1.956
0.74365,1.953
0.74614,1.9499
0.74863,1.9468
0.75112,1.9438
0.7536,1.9407
0.75609,1.9376
0.75857,1.9346
0.76105,1.9315
0.76352,1.9284
0.766,1.9253
0.76847,1.9222
0.77094,1.9191
0.77341,1.916
0.77588,1.9129
0.77835,1.9098
0.78081,1.9067
0.78328,1.9036
0.78574,1.9005
0.7882,1.8973
0.79066,1.8942
0.79312,1.8911
0.79557,1.888
0.79803,1.8848
0.80048,1.8817
0.80293,1.8785
0.80538,1.8754
0.80783,1.8722
0.81028,1.8691
0.81273,1.8659
0.81517,1.8627
0.81762,1.8596
0.82006,1.8564
0.8225,1.8532
0.82494,1.85
0.82738,1.8469
0.82982,1.8437
0.83226,1.8405
0.8347,1.8373
0.83713,1.8341
0.83957,1.8309
0.842,1.8277
0.84444,1.8245
0.84687,1.8212
0.8493,1.818
0.85173,1.8148
0.85417,1.8115
0.8566,1.8083
0.85902,1.8051
0.86145,1.8018
0.86388,1.7986
0.86631,1.7953
0.86874,1.7921
0.87116,1.7888
0.87359,1.7855
0.87601,1.7823
0.87844,1.779
0.88086,1.7757
0.88329,1.7724
0.88571,1.7691
0.88814,1.7658
0.89056,1.7625
0.89298,1.7592
0.89541,1.7559
0.89783,1.7526
0.90025,1.7493
0.90268,1.746
0.9051,1.7426
0.90752,1.7393
0.90995,1.736
0.91237,1.7326
0.91479,1.7293
0.91721,1.7259
0.91721,1.7259
0.91971,1.7249
0.92221,1.7239
0.9247,1.7228
0.9272,1.7218
0.92971,1.7208
0.93221,1.7197
0.93471,1.7186
0.93722,1.7176
0.93973,1.7165
0.94224,1.7154
0.94475,1.7143
0.94726,1.7133
0.94977,1.7122
0.95229,1.7111
0.9548,1.7099
0.95732,1.7088
0.95984,1.7077
0.96236,1.7066
0.96488,1.7054
0.96741,1.7043
0.96993,1.7031
0.97246,1.702
0.97499,1.7008
0.97752,1.6996
0.98005,1.6985
0.98258,1.6973
0.98511,1.6961
0.98764,1.6949
0.99018,1.6937
0.99272,1.6925
0.99525,1.6913
0.99779,1.69
1.0003,1.6888
1.0029,1.6876
1.0054,1.6863
1.008,1.6851
1.0105,1.6838
1.0131,1.6826
1.0156,1.6813
1.0182,1.68
1.0207,1.6787
1.0233,1.6774
1.0258,1.6762
1.0284,1.6749
1.0309,1.6735
1.0335,1.6722
1.036,1.6709
1.0386,1.6696
1.0411,1.6682
1.0437,1.6669
1.0463,1.6655
1.0488,1.6642
1.0514,1.6628
1.054,1.6615
1.0565,1.6601
1.0591,1.6587
1.0617,1.6573
1.0642,1.6559
1.0668,1.6545
1.0694,1.6531
1.0719,1.6517
1.0745,1.6503
1.0771,1.6488
1.0797,1.6474
1.0822,1.646
1.0848,1.6445
1.0874,1.6431
1.09,1.6416
1.0926,1.6401
1.0951,1.6387
1.0977,1.6372
1.1003,1.6357
1.1029,1.6342
1.1055,1.6327
1.1081,1.6312
1.1106,1.6297
1.1132,1.6282
1.1158,1.6266
1.1184,1.6251
1.121,1.6236
1.1236,1.622
1.1262,1.6204
1.1288,1.6189
1.1314,1.6173
1.134,1.6157
1.1366,1.6142
1.1392,1.6126
1.1418,1.611
1.1444,1.6094
1.147,1.6078
1.1496,1.6062
1.1522,1.6045
1.1548,1.6029
1.1574,1.6013
1.16,1.5996
1.1626,1.598
1.1652,1.5963
1.1678,1.5947
1.1704,1.593
1.1704,1.593
1.1708,1.595
1.1712,1.597
1.1716,1.5989
1.1721,1.6009
1.1725,1.6028
1.173,1.6048
1.1734,1.6067
1.1739,1.6086
1.1743,1.6106
1.1748,1.6125
1.1753,1.6144
1.1758,1.6163
1.1762,1.6182
1.1767,1.6201
1.1772,1.622
1.1778,1.6239
1.1783,1.6257
1.1788,1.6276
1.1793,1.6295
1.1799,1.6313
1.1804,1.6331
1.181,1.635
1.1815,1.6368
1.1821,1.6386
1.1826,1.6405
1.1832,1.6423
1.1838,1.6441
1.1844,1.6459
1.185,1.6477
1.1856,1.6495
1.1862,1.6512
1.1868,1.653
1.1874,1.6548
1.1881,1.6565
1.1887,1.6583
1.1893,1.66
1.19,1.6618
1.1907,1.6635
1.1913,1.6652
1.192,1.667
1.1927,1.6687
1.1933,1.6704
1.194,1.6721
1.1947,1.6738
1.1954,1.6755
1.1961,1.6772
1.1969,1.6788
1.1976,1.6805
1.1983,1.6822
1.199,1.6838
1.1998,1.6855
1.2005,1.6871
1.2013,1.6888
1.2021,1.6904
1.2028,1.692
1.2036,1.6936
1.2044,1.6952
1.2052,1.6968
1.206,1.6984
1.2068,1.7
1.2076,1.7016
1.2084,1.7032
1.2092,1.7048
1.21,1.7063
1.2109,1.7079
1.2117,1.7095
1.2126,1.711
1.2134,1.7125
1.2143,1.7141
1.2152,1.7156
1.216,1.7171
1.2169,1.7186
1.2178,1.7201
1.2187,1.7216
1.2196,1.7231
1.2205,1.7246
1.2214,1.7261
1.2224,1.7276
1.2233,1.729
1.2242,1.7305
1.2252,1.732
1.2261,1.7334
1.2271,1.7349
1.228,1.7363
1.229,1.7377
1.23,1.7391
1.231,1.7406
1.2319,1.742
1.2329,1.7434
1.2339,1.7448
1.235,1.7462
1.236,1.7476
1.237,1.7489
1.238,1.7503
1.2391,1.7517
1.2401,1.753
1.2411,1.7544
1.2422,1.7557
1.2433,1.7571
1.2433,1.7571
1.2415,1.7604
1.2397,1.7638
1.238,1.7672
1.2362,1.7705
1.2345,1.7739
1.2327,1.7772
1.231,1.7806
1.2292,1.7839
1.2275,1.7872
1.2258,1.7906
1.224,1.7939
1.2223,1.7972
1.2206,1.8005
1.2188,1.8039
1.2171,1.8072
1.2154,1.8105
1.2137,1.8138
1.2119,1.8171
1.2102,1.8204
1.2085,1.8236
1.2068,1.8269
1.2051,1.8302
1.2034,1.8335
1.2017,1.8368
1.2,1.84
1.1983,1.8433
1.1966,1.8465
1.1949,1.8498
1.1932,1.853
1.1915,1.8563
1.1898,1.8595
1.1881,1.8628
1.1864,1.866
1.1847,1.8692
1.183,1.8725
1.1814,1.8757
1.1797,1.8789
1.178,1.8821
1.1763,1.8853
1.1746,1.8886
1.173,1.8918
1.1713,1.895
1.1696,1.8982
1.168,1.9014
1.1663,1.9045
1.1646,1.9077
1.163,1.9109
1.1613,1.9141
1.1597,1.9173
1.158,1.9204
1.1564,1.9236
1.1547,1.9268
1.1531,1.9299
1.1514,1.9331
1.1498,1.9363
1.1481,1.9394
1.1465,1.9426
1.1448,1.9457
1.1432,1.9488
1.1416,1.952
1.1399,1.9551
1.1383,1.9582
1.1367,1.9614
1.135,1.9645
1.1334,1.9676
1.1318,1.9707
1.1302,1.9739
1.1285,1.977
1.1269,1.9801
1.1253,1.9832
1.1237,1.9863
1.1221,1.9894
1.1205,1.9925
1.1188,1.9956
1.1172,1.9987
1.1156,2.0017
1.114,2.0048
1.1124,2.0079
1.1108,2.011
1.1092,2.0141
1.1076,2.0171
1.106,2.0202
1.1044,2.0233
1.1028,2.0263
1.1012,2.0294
1.0996,2.0325
1.098,2.0355
1.0964,2.0386
1.0949,2.0416
1.0933,2.0447
1.0917,2.0477
1.0901,2.0507
1.0885,2.0538
1.0869,2.0568
1.0854,2.0598
1.0838,2.0629
1.0822,2.0659
1.0806,2.0689
1.079,2.0719
1.079,2.0719
1.0758,2.0738
1.0726,2.0757
1.0694,2.0776
1.0662,2.0795
1.063,2.0814
1.0598,2.0833
1.0566,2.0851
1.0533,2.087
1.0501,2.0888
1.0469,2.0907
1.0436,2.0925
1.0404,2.0944
1.0372,2.0962
1.0339,2.098
1.0307,2.0999
1.0274,2.1017
1.0242,2.1035
1.0209,2.1053
1.0176,2.1071
1.0144,2.1089
1.0111,2.1107
1.0078,2.1124
1.0046,2.1142
1.0013,2.116
0.99801,2.1177
0.99472,2.1195
0.99143,2.1212
0.98814,2.123
0.98484,2.1247
0.98154,2.1264
0.97824,2.1282
0.97494,2.1299
0.97163,2.1316
0.96831,2.1333
0.965,2.135
0.96168,2.1367
0.95836,2.1384
0.95503,2.1401
0.9517,2.1417
0.94837,2.1434
0.94503,2.1451
0.94169,2.1467
0.93835,2.1484
0.93501,2.15
0.93166,2.1517
0.9283,2.1533
0.92495,2.1549
0.92159,2.1565
0.91823,2.1582
0.91486,2.1598
0.91149,2.1614
0.90812,2.163
0.90475,2.1645
0.90137,2.1661
0.89799,2.1677
0.89461,2.1693
0.89122,2.1708
0.88783,2.1724
0.88443,2.1739
0.88104,2.1755
0.87764,2.177
0.87423,2.1785
0.87083,2.1801
0.86742,2.1816
0.86401,2.1831
0.86059,2.1846
0.85717,2.1861
0.85375,2.1876
0.85033,2.189
0.8469,2.1905
0.84347,2.192
0.84004,2.1934
0.83661,2.1949
0.83317,2.1963
0.82973,2.1978
0.82628,2.1992
0.82284,2.2006
0.81939,2.2021
0.81594,2.2035
0.81248,2.2049
0.80902,2.2063
0.80556,2.2077
0.8021,2.2091
0.79864,2.2104
0.79517,2.2118
0.7917,2.2132
0.78822,2.2145
0.78475,2.2159
0.78127,2.2172
0.77779,2.2186
0.77431,2.2199
0.77082,2.2212
0.76734,2.2225
0.76385,2.2238
0.76035,2.2251
0.75686,2.2264
0.75336,2.2277
0.74986,2.229
0.74636,2.2303
0.74636,2.2303
0.74512,2.2286
0.74389,2.2269
0.74267,2.2253
0.74147,2.2236
0.74027,2.2219
0.73909,2.2202
0.73791,2.2185
0.73675,2.2168
0.7356,2.2151
0.73446,2.2134
0.73333,2.2116
0.73221,2.2099
0.7311,2.2082
0.73001,2.2064
0.72892,2.2047
0.72784,2.2029
0.72678,2.2011
0.72573,2.1994
0.72468,2.1976
0.72365,2.1958
0.72263,2.194
0.72162,2.1922
0.72061,2.1904
0.71962,2.1886
0.71864,2.1868
0.71768,2.185
0.71672,2.1832
0.71577,2.1813
0.71483,2.1795
0.7139,2.1777
0.71298,2.1758
0.71208,2.174
0.71118,2.1721
0.71029,2.1703
0.70941,2.1684
0.70855,2.1665
0.70769,2.1646
0.70684,2.1627
0.70601,2.1608
0.70518,2.1589
0.70436,2.157
0.70356,2.1551
0.70276,2.1532
0.70197,2.1513
0.7012,2.1494
0.70043,2.1474
0.69967,2.1455
0.69892,2.1436
0.69818,2.1416
0.69746,2.1396
0.69674,2.1377
0.69603,2.1357
0.69533,2.1337
0.69464,2.1318
0.69396,2.1298
0.69328,2.1278
0.69262,2.1258
0.69197,2.1238
0.69133,2.1218
0.69069,2.1198
0.69007,2.1178
0.68945,2.1158
0.68885,2.1137
0.68825,2.1117
0.68766,2.1097
0.68708,2.1076
0.68651,2.1056
0.68595,2.1035
0.6854,2.1015
0.68486,2.0994
0.68433,2.0973
0.6838,2.0953
0.68329,2.0932
0.68278,2.0911
0.68228,2.089
0.68179,2.0869
0.68131,2.0848
0.68084,2.0827
0.68038,2.0806
0.67993,2.0785
0.67948,2.0763
0.67905,2.0742
0.67862,2.0721
0.6782,2.0699
0.67779,2.0678
0.67739,2.0657
0.67699,2.0635
0.67661,2.0613
0.67623,2.0592
