theta1,theta2,t
0.8156800000000001,1.9915,0.0
0.81672,1.9886,0.02
0.81781,1.9856,0.04
0.81897,1.9827,0.06
0.8201799999999999,1.9797,0.08
0.8214600000000001,1.9767,0.1
0.8227899999999999,1.9736,0.12
0.8241799999999999,1.9706,0.14
0.82562,1.9675,0.16
0.8271200000000001,1.9644,0.18
0.82868,1.9613,0.2
0.83029,1.9582,0.22
0.83195,1.9551,0.24
0.8336600000000001,1.952,0.26
0.83542,1.9489,0.28
0.8372299999999999,1.9457,0.3
0.8391,1.9426,0.32
0.841,1.9394,0.34
0.84296,1.9362,0.36
0.84496,1.9331,0.38
0.847,1.9299,0.4
0.84909,1.9268,0.42
0.85121,1.9236,0.44
0.8533799999999999,1.9204,0.46
0.85559,1.9173,0.48
0.8578399999999999,1.9141,0.5
0.8601200000000001,1.911,0.52
0.86244,1.9078,0.54
0.8648,1.9047,0.56
0.86719,1.9016,0.58
0.86961,1.8985,0.6
0.8720700000000001,1.8954,0.62
0.87455,1.8923,0.64
0.8770600000000001,1.8892,0.66
0.87961,1.8861,0.68
0.88218,1.8831,0.7000000000000001
0.8847700000000001,1.8801,0.72
0.88739,1.8771,0.74
0.8900299999999999,1.8741,0.76
0.8927,1.8711,0.78
0.8953899999999999,1.8682,0.8
0.8980899999999999,1.8653,0.8200000000000001
0.9008200000000001,1.8624,0.84
0.90356,1.8595,0.86
0.9063200000000001,1.8567,0.88
0.9091,1.8539,0.9
0.91189,1.8511,0.92
0.91469,1.8483,0.9400000000000001
0.91751,1.8456,0.96
0.9203399999999999,1.8429,0.98
0.92317,1.8403,1.0
0.9260200000000001,1.8376,1.02
0.9288700000000001,1.8351,1.04
0.93173,1.8325,1.06
0.9346,1.83,1.08
0.9374600000000001,1.8275,1.1
0.94034,1.8251,1.12
0.94321,1.8227,1.1400000000000001
0.94609,1.8203,1.16
0.94896,1.818,1.18
0.9518399999999999,1.8157,1.2
0.9547100000000001,1.8135,1.22
0.9575799999999999,1.8113,1.24
0.96044,1.8091,1.26
0.9633,1.807,1.28
0.96616,1.805,1.3
0.96901,1.8029,1.32
0.9718399999999999,1.801,1.34
0.97467,1.7991,1.36
0.97749,1.7972,1.3800000000000001
0.9803,1.7954,1.4000000000000001
0.9831,1.7936,1.42
0.98588,1.7919,1.44
0.98865,1.7902,1.46
0.99141,1.7886,1.48
