theta1,theta2
0.12575,2.578
0.13679,2.564
0.14768,2.5501
0.15841,2.5361
0.16899,2.5221
0.17945,2.5081
0.18979,2.494
0.20001,2.48
0.21013,2.4659
0.22015,2.4518
0.23009,2.4377
0.23994,2.4236
0.24971,2.4094
0.25942,2.3952
0.26905,2.381
0.27863,2.3667
0.28815,2.3524
0.29762,2.3381
0.30704,2.3237
0.31642,2.3093
0.32576,2.2949
0.33506,2.2804
0.34434,2.2659
0.35358,2.2513
0.3628,2.2367
0.37199,2.2221
0.38116,2.2074
0.39032,2.1926
0.39946,2.1778
0.40859,2.163
0.41771,2.148
0.42683,2.1331
0.43594,2.1181
0.44504,2.103
0.45415,2.0878
0.46326,2.0726
0.47237,2.0573
0.48149,2.042
0.49062,2.0266
0.49976,2.0111
0.50892,1.9956
0.51808,1.9799
0.52727,1.9642
0.53647,1.9484
0.5457,1.9326
0.55495,1.9166
0.56422,1.9006
0.57352,1.8844
0.58285,1.8682
0.59222,1.8519
0.60161,1.8355
0.61105,1.819
0.62052,1.8024
0.63003,1.7856
0.63958,1.7688
0.64918,1.7518
0.65883,1.7348
0.66853,1.7176
0.67828,1.7002
0.68809,1.6828
0.69795,1.6652
0.70788,1.6475
0.71787,1.6296
0.72793,1.6116
0.73806,1.5934
0.74826,1.575
0.75854,1.5565
0.76891,1.5378
0.77935,1.519
0.78989,1.4999
0.80052,1.4807
0.80052,1.4807
0.80975,1.4798
0.81907,1.4788
0.82848,1.4776
0.83798,1.4762
0.84756,1.4747
0.85722,1.473
0.86697,1.4711
0.8768,1.469
0.88671,1.4668
0.89669,1.4644
0.90676,1.4619
0.9169,1.4591
0.92711,1.4562
0.9374,1.4531
0.94777,1.4499
0.9582,1.4465
0.96871,1.4429
0.97928,1.4391
0.98993,1.4352
1.0006,1.4311
1.0114,1.4268
1.0223,1.4224
1.0332,1.4177
1.0442,1.413
1.0552,1.408
1.0663,1.4028
1.0775,1.3975
1.0887,1.392
1.1,1.3863
1.1113,1.3805
1.1227,1.3744
1.1342,1.3682
1.1457,1.3618
1.1573,1.3553
1.1689,1.3485
1.1806,1.3416
1.1924,1.3344
1.2042,1.3271
1.2161,1.3196
1.228,1.3119
1.24,1.304
1.2521,1.296
1.2642,1.2877
1.2764,1.2792
1.2886,1.2706
1.3009,1.2617
1.3132,1.2527
1.3257,1.2434
1.3382,1.2339
1.3507,1.2242
1.3633,1.2143
1.376,1.2042
1.3888,1.1939
1.4016,1.1833
1.4145,1.1725
1.4275,1.1615
1.4405,1.1502
1.4537,1.1387
1.4669,1.127
1.4802,1.115
1.4936,1.1027
1.5071,1.0901
1.5207,1.0773
1.5344,1.0642
1.5481,1.0509
1.562,1.0372
1.5761,1.0232
1.5902,1.0089
1.6045,0.99424
1.6189,0.97925
1.6189,0.97925
1.6103,1.0022
1.602,1.0246
1.5941,1.0465
1.5865,1.0679
1.5791,1.0889
1.572,1.1095
1.5652,1.1297
1.5586,1.1495
1.5523,1.169
1.5462,1.1881
1.5403,1.2069
1.5346,1.2254
1.5292,1.2436
1.5239,1.2614
1.5189,1.2791
1.5141,1.2964
1.5094,1.3135
1.505,1.3303
1.5007,1.3469
1.4966,1.3633
1.4928,1.3794
1.489,1.3953
1.4855,1.411
1.4821,1.4265
1.479,1.4417
1.4759,1.4568
1.4731,1.4717
1.4704,1.4864
1.4679,1.5009
1.4656,1.5152
1.4634,1.5293
1.4614,1.5433
1.4596,1.5571
1.4579,1.5707
1.4564,1.5842
1.4551,1.5974
1.4539,1.6106
1.4529,1.6235
1.4521,1.6363
1.4514,1.6489
1.4509,1.6614
1.4506,1.6737
1.4505,1.6859
1.4505,1.6979
1.4506,1.7098
1.451,1.7215
1.4515,1.7331
1.4522,1.7445
1.4531,1.7557
1.4541,1.7669
1.4554,1.7778
1.4568,1.7886
1.4583,1.7993
1.4601,1.8098
1.462,1.8202
1.4642,1.8305
1.4665,1.8405
1.469,1.8505
1.4716,1.8603
1.4745,1.8699
1.4775,1.8794
1.4808,1.8888
1.4842,1.898
1.4879,1.907
1.4917,1.9159
1.4957,1.9246
1.4999,1.9332
1.5043,1.9417
1.5089,1.95
1.5137,1.9581
1.5137,1.9581
1.4994,1.9716
1.4849,1.9851
1.4703,1.9984
1.4557,2.0116
1.441,2.0247
1.4261,2.0377
1.4111,2.0507
1.3961,2.0635
1.3809,2.0762
1.3656,2.0888
1.3502,2.1012
1.3346,2.1136
1.3189,2.1259
1.3031,2.1381
1.2871,2.1502
1.271,2.1621
1.2548,2.174
1.2383,2.1857
1.2218,2.1974
1.205,2.2089
1.1881,2.2203
1.171,2.2316
1.1538,2.2428
1.1363,2.2538
1.1187,2.2648
1.1009,2.2756
1.0829,2.2863
1.0647,2.2969
1.0463,2.3073
1.0276,2.3177
1.0088,2.3278
0.98977,2.3379
0.97051,2.3478
0.95103,2.3576
0.93132,2.3672
0.91139,2.3767
0.89123,2.386
0.87085,2.3952
0.85023,2.4042
0.82938,2.4131
0.8083,2.4217
0.78698,2.4302
0.76544,2.4386
0.74367,2.4467
0.72167,2.4547
0.69945,2.4625
0.67701,2.4701
0.65435,2.4775
0.63149,2.4846
0.60842,2.4916
0.58516,2.4983
0.56172,2.5049
0.53811,2.5112
0.51433,2.5172
0.4904,2.5231
0.46634,2.5286
0.44215,2.534
0.41787,2.539
0.39349,2.5438
0.36905,2.5484
0.34456,2.5527
0.32004,2.5566
0.29552,2.5603
0.27102,2.5638
0.24656,2.5669
0.22216,2.5697
0.19786,2.5723
0.17367,2.5745
0.14962,2.5764
0.12575,2.578
