theta1,theta2
0.28567,2.0652
0.2745,2.0803
0.26352,2.0953
0.25272,2.1103
0.24213,2.1253
0.23176,2.1402
0.2216,2.1551
0.21168,2.1699
0.202,2.1847
0.19258,2.1994
0.18344,2.214
0.17457,2.2286
0.16601,2.2431
0.15776,2.2575
0.14983,2.2718
0.14226,2.2861
0.13505,2.3002
0.12821,2.3142
0.12178,2.3281
0.11578,2.3419
0.11021,2.3556
0.10511,2.3692
0.1005,2.3825
0.0964,2.3958
0.09284,2.4089
0.089846,2.4218
0.087445,2.4345
0.085667,2.447
0.084542,2.4593
0.084101,2.4714
0.084376,2.4833
0.085401,2.4949
0.087207,2.5062
0.089831,2.5173
0.093306,2.5281
0.097667,2.5385
0.10295,2.5487
0.10918,2.5584
0.1164,2.5679
0.12464,2.5769
0.13393,2.5855
0.14428,2.5937
0.15574,2.6015
0.1683,2.6088
0.18199,2.6156
0.19682,2.6219
0.21278,2.6277
0.22988,2.633
0.24809,2.6376
0.2674,2.6417
0.28778,2.6453
0.30919,2.6482
0.33158,2.6505
0.3549,2.6522
0.37908,2.6532
0.40405,2.6536
0.42973,2.6534
0.45604,2.6525
0.48289,2.6511
0.51019,2.6489
0.53784,2.6462
0.56576,2.6429
0.59384,2.639
0.62201,2.6344
0.65017,2.6294
0.67825,2.6238
0.70616,2.6176
0.73384,2.6109
0.76122,2.6038
0.78824,2.5962
0.81486,2.5881
0.84102,2.5796
0.8667,2.5707
0.89186,2.5614
0.91647,2.5517
0.94052,2.5417
0.96399,2.5313
0.98687,2.5206
1.0092,2.5096
1.0308,2.4984
1.0519,2.4868
1.0724,2.4751
1.0923,2.463
1.1116,2.4508
1.1304,2.4383
1.1485,2.4257
1.1662,2.4128
1.1833,2.3998
1.1998,2.3866
1.2159,2.3733
1.2315,2.3598
1.2465,2.3461
1.2611,2.3324
1.2753,2.3185
1.289,2.3045
1.3023,2.2904
1.3152,2.2762
1.3277,2.2619
1.3398,2.2475
1.3515,2.233
1.3628,2.2185
1.3739,2.2039
1.3845,2.1892
1.3949,2.1744
1.4049,2.1596
1.4147,2.1448
1.4241,2.1299
1.4333,2.1149
1.4422,2.0999
1.4508,2.0849
1.4592,2.0699
1.4673,2.0548
1.4752,2.0397
1.4828,2.0245
1.4902,2.0094
1.4975,1.9942
1.5045,1.979
1.5112,1.9638
1.5178,1.9486
1.5242,1.9334
1.5305,1.9181
1.5365,1.9029
1.5423,1.8877
1.548,1.8725
1.5535,1.8573
1.5589,1.8421
1.5641,1.8269
1.5691,1.8118
1.574,1.7966
1.5787,1.7815
1.5833,1.7664
1.5878,1.7513
1.5921,1.7362
1.5963,1.7212
1.6003,1.7062
1.6042,1.6912
1.608,1.6763
1.6117,1.6614
1.6152,1.6466
1.6186,1.6318
1.6219,1.617
1.6251,1.6023
1.6282,1.5877
1.6311,1.5731
1.6339,1.5585
1.6366,1.5441
1.6392,1.5296
1.6417,1.5153
1.6441,1.501
1.6464,1.4868
1.6485,1.4727
1.6506,1.4586
1.6525,1.4446
1.6544,1.4307
1.6561,1.4169
1.6577,1.4032
1.6592,1.3896
1.6606,1.3761
1.6619,1.3627
1.6631,1.3494
1.6642,1.3362
1.6651,1.3231
1.666,1.3102
1.6667,1.2973
1.6673,1.2846
1.6679,1.272
1.6682,1.2596
1.6685,1.2473
1.6687,1.2351
1.6687,1.2231
1.6687,1.2113
1.6685,1.1996
1.6681,1.1881
1.6677,1.1767
1.6671,1.1656
1.6664,1.1546
1.6656,1.1438
1.6646,1.1332
1.6635,1.1228
1.6622,1.1126
1.6608,1.1026
1.6593,1.0928
1.6576,1.0833
1.6558,1.074
1.6538,1.0649
1.6517,1.0561
1.6494,1.0476
1.647,1.0392
1.6443,1.0312
1.6416,1.0234
1.6386,1.0159
1.6355,1.0087
1.6322,1.0018
1.6288,0.99518
1.6252,0.98886
1.6213,0.98285
1.6173,0.97715
1.6131,0.97178
1.6088,0.96673
1.6042,0.96202
1.5995,0.95764
1.5945,0.9536
1.5894,0.94992
1.584,0.94658
1.5785,0.94359
1.5727,0.94097
1.5668,0.9387
1.5606,0.9368
1.5543,0.93527
1.5477,0.9341
1.541,0.9333
1.534,0.93287
1.5268,0.93282
1.5195,0.93313
1.5119,0.93382
1.5041,0.93487
1.4961,0.93629
1.488,0.93808
1.4796,0.94024
1.471,0.94275
1.4623,0.94563
1.4533,0.94886
