theta1,theta2
0.40395,2.0747
0.40351,2.0773
0.40308,2.0799
0.40265,2.0825
0.40223,2.0851
0.40182,2.0877
0.40141,2.0904
0.40101,2.093
0.40061,2.0956
0.40022,2.0982
0.39984,2.1008
0.39946,2.1033
0.3991,2.1059
0.39873,2.1085
0.39838,2.1111
0.39803,2.1137
0.39769,2.1162
0.39735,2.1188
0.39702,2.1214
0.3967,2.1239
0.39638,2.1265
0.39607,2.129
0.39577,2.1316
0.39548,2.1341
0.39519,2.1367
0.39491,2.1392
0.39463,2.1417
0.39437,2.1443
0.39411,2.1468
0.39385,2.1493
0.39361,2.1518
0.39337,2.1543
0.39314,2.1568
0.39291,2.1593
0.3927,2.1618
0.39249,2.1643
0.39229,2.1668
0.39209,2.1693
0.3919,2.1718
0.39172,2.1743
0.39155,2.1768
0.39139,2.1792
0.39123,2.1817
0.39108,2.1842
0.39094,2.1866
0.3908,2.1891
0.39068,2.1916
0.39056,2.194
0.39045,2.1965
0.39034,2.1989
0.39025,2.2013
0.39016,2.2038
0.39008,2.2062
0.39001,2.2086
0.38995,2.2111
0.38989,2.2135
0.38984,2.2159
0.38981,2.2183
0.38978,2.2207
0.38975,2.2231
0.38974,2.2255
0.38973,2.2279
0.38974,2.2303
0.38975,2.2327
0.38977,2.2351
0.3898,2.2375
0.38983,2.2398
0.38988,2.2422
0.38993,2.2446
0.39,2.2469
0.39007,2.2493
0.39015,2.2516
0.39024,2.254
0.39034,2.2563
0.39045,2.2587
0.39057,2.261
0.39069,2.2634
0.39083,2.2657
0.39097,2.268
0.39113,2.2703
0.39129,2.2726
0.39146,2.275
0.39164,2.2773
0.39183,2.2796
0.39204,2.2819
0.39225,2.2842
0.39247,2.2865
0.3927,2.2888
0.39294,2.291
0.39319,2.2933
0.39345,2.2956
0.39372,2.2979
0.394,2.3001
0.39429,2.3024
0.39459,2.3046
0.3949,2.3069
0.39522,2.3091
0.39555,2.3114
0.39589,2.3136
0.39624,2.3159
0.3966,2.3181
0.39698,2.3203
0.39736,2.3225
0.39775,2.3248
0.39816,2.327
0.39857,2.3292
0.399,2.3314
0.39944,2.3336
0.39989,2.3358
0.40035,2.338
0.40082,2.3402
0.4013,2.3423
0.40179,2.3445
0.4023,2.3467
0.40282,2.3488
0.40334,2.351
0.40388,2.3532
0.40443,2.3553
0.405,2.3575
0.40557,2.3596
0.40616,2.3617
0.40676,2.3639
0.40737,2.366
0.40799,2.3681
0.40863,2.3702
0.40928,2.3723
0.40994,2.3745
0.41061,2.3766
0.41129,2.3787
0.41199,2.3807
0.4127,2.3828
0.41342,2.3849
0.41416,2.387
0.41491,2.3891
0.41567,2.3911
0.41645,2.3932
0.41723,2.3952
0.41803,2.3973
0.41885,2.3993
0.41968,2.4014
0.42052,2.4034
0.42137,2.4054
0.42224,2.4075
0.42313,2.4095
0.42402,2.4115
0.42493,2.4135
0.42586,2.4155
0.4268,2.4175
0.42775,2.4195
0.42872,2.4215
0.4297,2.4235
0.43069,2.4254
0.4317,2.4274
0.43273,2.4294
0.43377,2.4313
0.43482,2.4333
0.43589,2.4352
0.43698,2.4372
0.43808,2.4391
0.43919,2.441
0.44032,2.4429
0.44147,2.4449
0.44263,2.4468
0.4438,2.4487
0.445,2.4506
0.44621,2.4525
0.44743,2.4543
0.44867,2.4562
0.44993,2.4581
0.4512,2.46
0.45249,2.4618
0.45379,2.4637
0.45511,2.4655
0.45645,2.4674
0.45781,2.4692
0.45918,2.471
0.46057,2.4728
0.46197,2.4747
0.46339,2.4765
0.46483,2.4783
0.46629,2.4801
0.46776,2.4818
0.46926,2.4836
0.47076,2.4854
0.47229,2.4872
0.47384,2.4889
0.4754,2.4907
0.47698,2.4924
0.47858,2.4942
0.48019,2.4959
0.48183,2.4976
0.48348,2.4993
0.48516,2.501
0.48685,2.5027
0.48856,2.5044
0.49028,2.5061
0.49203,2.5078
0.4938,2.5095
0.49558,2.5112
0.49739,2.5128
0.49739,2.5128
0.50209,2.5117
0.50679,2.5105
0.51148,2.5094
0.51617,2.5082
0.52085,2.507
0.52553,2.5059
0.5302,2.5047
0.53486,2.5035
0.53952,2.5023
0.54417,2.501
0.54882,2.4998
0.55346,2.4986
0.55809,2.4973
0.56272,2.4961
0.56734,2.4948
0.57196,2.4935
0.57656,2.4922
0.58117,2.491
0.58576,2.4897
0.59035,2.4883
0.59493,2.487
0.5995,2.4857
0.60407,2.4844
0.60863,2.483
0.61318,2.4817
0.61773,2.4803
0.62226,2.4789
0.6268,2.4776
0.63132,2.4762
0.63583,2.4748
0.64034,2.4734
0.64484,2.472
0.64933,2.4705
0.65382,2.4691
0.6583,2.4677
0.66277,2.4662
0.66723,2.4648
0.67168,2.4633
0.67612,2.4619
0.68056,2.4604
0.68499,2.4589
0.68941,2.4574
0.69383,2.4559
0.69823,2.4544
0.70263,2.4529
0.70701,2.4514
0.71139,2.4498
0.71577,2.4483
0.72013,2.4467
0.72448,2.4452
0.72883,2.4436
0.73317,2.4421
0.7375,2.4405
0.74182,2.4389
0.74613,2.4373
0.75043,2.4357
0.75473,2.4341
0.75901,2.4325
0.76329,2.4309
0.76756,2.4293
0.77182,2.4276
0.77607,2.426
0.78032,2.4243
0.78455,2.4227
0.78878,2.421
0.79299,2.4193
0.7972,2.4177
0.8014,2.416
0.80559,2.4143
0.80977,2.4126
0.81395,2.4109
0.81811,2.4092
0.82227,2.4075
0.82641,2.4057
0.83055,2.404
0.83468,2.4023
0.8388,2.4005
0.84291,2.3988
0.84701,2.397
0.85111,2.3953
0.85519,2.3935
0.85927,2.3917
0.86334,2.3899
0.86739,2.3882
0.87144,2.3864
0.87548,2.3846
0.87952,2.3827
0.88354,2.3809
0.88755,2.3791
0.89156,2.3773
0.89556,2.3755
0.89955,2.3736
0.90353,2.3718
0.9075,2.3699
0.91146,2.3681
0.91541,2.3662
0.91936,2.3643
0.92329,2.3625
0.92722,2.3606
0.93114,2.3587
0.93505,2.3568
0.93895,2.3549
0.94285,2.353
0.94673,2.3511
0.95061,2.3492
0.95447,2.3473
0.95833,2.3453
0.96218,2.3434
0.96602,2.3415
0.96986,2.3395
0.97368,2.3376
0.9775,2.3356
0.98131,2.3336
0.98511,2.3317
0.9889,2.3297
0.99268,2.3277
0.99646,2.3257
1.0002,2.3238
1.004,2.3218
1.0077,2.3198
1.0115,2.3178
1.0152,2.3157
1.0189,2.3137
1.0227,2.3117
1.0264,2.3097
1.0301,2.3077
1.0338,2.3056
1.0374,2.3036
1.0411,2.3015
1.0448,2.2995
1.0485,2.2974
1.0521,2.2954
1.0557,2.2933
1.0594,2.2912
1.063,2.2891
1.0666,2.2871
1.0703,2.285
1.0739,2.2829
1.0775,2.2808
1.0811,2.2787
1.0846,2.2766
1.0882,2.2744
1.0918,2.2723
1.0953,2.2702
1.0989,2.2681
1.1024,2.2659
1.106,2.2638
1.1095,2.2617
1.113,2.2595
1.1165,2.2574
1.1201,2.2552
1.1236,2.253
1.1271,2.2509
1.1305,2.2487
1.134,2.2465
1.1375,2.2443
1.141,2.2422
1.1444,2.24
1.1479,2.2378
1.1513,2.2356
1.1548,2.2334
1.1582,2.2312
1.1616,2.2289
1.165,2.2267
1.1684,2.2245
1.1718,2.2223
1.1752,2.22
1.1786,2.2178
1.182,2.2156
1.1854,2.2133
1.1887,2.2111
1.1921,2.2088
1.1955,2.2065
1.1988,2.2043
1.2022,2.202
1.2055,2.1997
1.2088,2.1975
1.2121,2.1952
1.2155,2.1929
1.2188,2.1906
1.2221,2.1883
1.2254,2.186
1.2287,2.1837
1.232,2.1814
1.2352,2.1791
1.2385,2.1768
1.2418,2.1744
1.245,2.1721
1.2483,2.1698
1.2515,2.1674
1.2548,2.1651
1.258,2.1628
1.2612,2.1604
1.2645,2.1581
1.2677,2.1557
1.2709,2.1533
1.2741,2.151
1.2773,2.1486
1.2805,2.1462
1.2805,2.1462
1.2813,2.1435
1.2821,2.1407
1.2829,2.138
1.2837,2.1352
1.2845,2.1325
1.2853,2.1297
1.2861,2.1269
1.287,2.1242
1.2878,2.1214
1.2886,2.1186
1.2895,2.1158
1.2903,2.1131
1.2911,2.1103
1.292,2.1075
1.2928,2.1047
