theta1,theta2
1.3125,1.0268
1.3132,1.0293
1.3139,1.0318
1.3146,1.0343
1.3153,1.0367
1.3161,1.0392
1.3168,1.0416
1.3176,1.0439
1.3183,1.0463
1.3191,1.0486
1.3199,1.051
1.3207,1.0533
1.3216,1.0556
1.3224,1.0578
1.3233,1.0601
1.3241,1.0623
1.325,1.0645
1.3259,1.0667
1.3268,1.0688
1.3277,1.071
1.3287,1.0731
1.3296,1.0752
1.3306,1.0773
1.3315,1.0794
1.3325,1.0815
1.3335,1.0835
1.3345,1.0855
1.3356,1.0875
1.3366,1.0895
1.3376,1.0914
1.3387,1.0934
1.3398,1.0953
1.3409,1.0972
1.342,1.0991
1.3431,1.101
1.3442,1.1028
1.3453,1.1047
1.3465,1.1065
1.3476,1.1083
1.3488,1.1101
1.35,1.1118
1.3512,1.1136
1.3524,1.1153
1.3536,1.117
1.3548,1.1187
1.3561,1.1204
1.3573,1.1221
1.3586,1.1237
1.3599,1.1253
1.3612,1.1269
1.3625,1.1285
1.3638,1.1301
1.3651,1.1317
1.3664,1.1332
1.3678,1.1347
1.3691,1.1362
1.3705,1.1377
1.3719,1.1392
1.3733,1.1406
1.3747,1.1421
1.3761,1.1435
1.3775,1.1449
1.379,1.1463
1.3804,1.1477
1.3819,1.149
1.3833,1.1504
1.3848,1.1517
1.3863,1.153
1.3878,1.1543
1.3893,1.1555
1.3908,1.1568
1.3924,1.158
1.3939,1.1593
1.3955,1.1605
1.3971,1.1617
1.3986,1.1628
1.4002,1.164
1.4018,1.1651
1.4034,1.1663
1.4051,1.1674
1.4067,1.1685
1.4083,1.1695
1.41,1.1706
1.4116,1.1716
1.4133,1.1727
1.415,1.1737
1.4167,1.1747
1.4184,1.1756
1.4201,1.1766
1.4218,1.1776
1.4236,1.1785
1.4253,1.1794
1.4271,1.1803
1.4288,1.1812
1.4306,1.182
1.4324,1.1829
1.4342,1.1837
1.436,1.1846
1.4378,1.1854
1.4397,1.1861
1.4415,1.1869
1.4433,1.1877
1.4452,1.1884
1.4471,1.1891
1.4489,1.1899
1.4508,1.1905
1.4527,1.1912
1.4546,1.1919
1.4565,1.1925
1.4585,1.1932
1.4604,1.1938
1.4623,1.1944
1.4643,1.195
1.4663,1.1955
1.4682,1.1961
1.4702,1.1966
1.4722,1.1971
1.4742,1.1976
1.4762,1.1981
1.4782,1.1986
1.4803,1.1991
1.4823,1.1995
1.4844,1.1999
1.4864,1.2004
1.4885,1.2008
1.4906,1.2011
1.4926,1.2015
1.4947,1.2018
1.4968,1.2022
1.499,1.2025
1.5011,1.2028
1.5032,1.2031
1.5053,1.2034
1.5075,1.2036
1.5096,1.2039
1.5118,1.2041
1.514,1.2043
1.5162,1.2045
1.5184,1.2047
1.5206,1.2048
1.5228,1.205
1.525,1.2051
1.5272,1.2052
1.5295,1.2053
1.5317,1.2054
1.534,1.2055
1.5362,1.2056
1.5385,1.2056
1.5408,1.2056
1.5431,1.2056
1.5454,1.2056
1.5477,1.2056
1.55,1.2056
1.5523,1.2055
1.5547,1.2055
1.557,1.2054
1.5593,1.2053
1.5617,1.2052
1.5641,1.205
1.5664,1.2049
1.5688,1.2047
1.5712,1.2045
1.5736,1.2044
1.576,1.2042
1.5784,1.2039
1.5809,1.2037
1.5833,1.2034
1.5857,1.2032
1.5882,1.2029
1.5907,1.2026
1.5931,1.2023
1.5956,1.2019
1.5981,1.2016
1.6006,1.2012
1.6031,1.2009
1.6056,1.2005
1.6081,1.2001
1.6106,1.1996
1.6131,1.1992
1.6157,1.1987
1.6182,1.1983
1.6208,1.1978
1.6233,1.1973
1.6259,1.1968
1.6285,1.1962
1.6311,1.1957
1.6337,1.1951
1.6363,1.1945
1.6389,1.1939
1.6415,1.1933
1.6441,1.1927
1.6467,1.1921
1.6494,1.1914
1.652,1.1907
1.6547,1.19
1.6573,1.1893
1.66,1.1886
1.6627,1.1879
1.6654,1.1871
1.6681,1.1864
1.6681,1.1864
1.6656,1.1926
1.6631,1.1987
1.6606,1.2049
1.6582,1.211
1.6558,1.217
1.6534,1.2231
1.651,1.2291
1.6487,1.2351
1.6463,1.241
1.644,1.247
1.6417,1.2529
1.6394,1.2587
1.6371,1.2646
1.6349,1.2704
1.6326,1.2762
1.6304,1.282
1.6282,1.2877
1.626,1.2935
1.6238,1.2992
1.6217,1.3049
1.6195,1.3105
1.6174,1.3161
1.6153,1.3217
1.6132,1.3273
1.6112,1.3329
1.6091,1.3384
1.607,1.3439
1.605,1.3494
1.603,1.3549
1.601,1.3604
1.599,1.3658
1.5971,1.3712
1.5951,1.3766
1.5932,1.382
1.5912,1.3873
1.5893,1.3926
1.5874,1.398
1.5856,1.4032
1.5837,1.4085
1.5818,1.4138
1.58,1.419
1.5782,1.4242
1.5764,1.4294
1.5746,1.4346
1.5728,1.4397
1.571,1.4449
1.5693,1.45
1.5675,1.4551
1.5658,1.4602
1.5641,1.4653
1.5624,1.4703
1.5607,1.4754
1.559,1.4804
1.5574,1.4854
1.5557,1.4904
1.5541,1.4953
1.5525,1.5003
1.5509,1.5052
1.5493,1.5102
1.5477,1.5151
1.5461,1.5199
1.5446,1.5248
1.543,1.5297
1.5415,1.5345
1.54,1.5393
1.5385,1.5442
1.537,1.549
1.5355,1.5537
1.5341,1.5585
1.5326,1.5633
1.5312,1.568
1.5297,1.5727
1.5283,1.5774
1.5269,1.5821
1.5255,1.5868
1.5242,1.5915
1.5228,1.5961
1.5215,1.6008
1.5201,1.6054
1.5188,1.61
1.5175,1.6146
1.5162,1.6192
1.5149,1.6237
1.5136,1.6283
1.5124,1.6328
1.5111,1.6374
1.5099,1.6419
1.5086,1.6464
1.5074,1.6509
1.5062,1.6554
1.505,1.6598
1.5039,1.6643
1.5027,1.6687
1.5016,1.6732
1.5004,1.6776
1.4993,1.682
1.4982,1.6864
1.4971,1.6907
1.496,1.6951
1.4949,1.6995
1.4939,1.7038
1.4928,1.7081
1.4918,1.7125
1.4907,1.7168
1.4897,1.7211
1.4887,1.7253
1.4877,1.7296
1.4868,1.7339
1.4858,1.7381
1.4849,1.7424
1.4839,1.7466
1.483,1.7508
1.4821,1.755
1.4812,1.7592
1.4803,1.7634
1.4794,1.7675
1.4786,1.7717
1.4777,1.7758
1.4769,1.78
1.4761,1.7841
1.4753,1.7882
1.4745,1.7923
1.4737,1.7964
1.4729,1.8005
1.4721,1.8045
1.4714,1.8086
1.4707,1.8126
1.47,1.8167
1.4692,1.8207
1.4686,1.8247
1.4679,1.8287
1.4672,1.8327
1.4666,1.8367
1.4659,1.8407
1.4653,1.8446
1.4647,1.8486
1.4641,1.8525
1.4635,1.8564
1.4629,1.8604
1.4624,1.8643
1.4618,1.8682
1.4613,1.872
1.4608,1.8759
1.4603,1.8798
1.4598,1.8836
1.4593,1.8875
1.4588,1.8913
1.4584,1.8951
1.458,1.899
1.4575,1.9028
1.4571,1.9066
1.4567,1.9103
1.4564,1.9141
1.456,1.9179
1.4556,1.9216
1.4553,1.9254
1.455,1.9291
1.4547,1.9328
1.4544,1.9365
1.4541,1.9402
1.4538,1.9439
1.4536,1.9476
1.4534,1.9513
1.4531,1.9549
1.4529,1.9586
1.4528,1.9622
1.4526,1.9659
1.4524,1.9695
1.4523,1.9731
1.4522,1.9767
1.452,1.9803
1.4519,1.9839
1.4519,1.9874
1.4518,1.991
1.4517,1.9945
1.4517,1.9981
1.4517,2.0016
1.4517,2.0051
1.4517,2.0086
1.4517,2.0121
1.4518,2.0156
1.4518,2.0191
1.4519,2.0226
1.452,2.026
1.4521,2.0295
1.4522,2.0329
1.4524,2.0363
1.4525,2.0397
1.4527,2.0431
1.4529,2.0465
1.4531,2.0499
1.4534,2.0533
1.4536,2.0567
1.4539,2.06
1.4541,2.0634
1.4544,2.0667
1.4547,2.07
1.4551,2.0733
1.4554,2.0766
1.4554,2.0766
1.4511,2.0805
1.4467,2.0844
1.4424,2.0882
1.438,2.0921
1.4336,2.0959
1.4292,2.0997
1.4248,2.1036
1.4204,2.1074
1.416,2.1112
1.4115,2.115
1.4071,2.1188
1.4026,2.1225
1.3982,2.1263
1.3937,2.1301
1.3892,2.1338
1.3847,2.1376
1.3801,2.1413
1.3756,2.145
1.3711,2.1488
1.3665,2.1525
1.3619,2.1562
1.3573,2.1599
1.3528,2.1636
1.3481,2.1673
1.3435,2.1709
1.3389,2.1746
1.3342,2.1783
1.3296,2.1819
1.3249,2.1855
1.3202,2.1892
1.3155,2.1928
1.3108,2.1964
1.306,2.2
1.3013,2.2036
1.2965,2.2072
1.2918,2.2108
1.287,2.2144
1.2822,2.2179
1.2773,2.2215
1.2725,2.225
1.2676,2.2286
1.2628,2.2321
1.2579,2.2356
1.253,2.2391
1.2481,2.2426
1.2431,2.2461
1.2382,2.2496
1.2332,2.2531
1.2282,2.2566
1.2232,2.26
1.2182,2.2635
1.2132,2.2669
1.2081,2.2704
1.2031,2.2738
1.198,2.2772
1.1929,2.2806
1.1878,2.284
1.1826,2.2874
1.1775,2.2908
1.1723,2.2942
1.1671,2.2975
1.1619,2.3009
1.1566,2.3042
1.1514,2.3075
1.1461,2.3109
1.1408,2.3142
1.1355,2.3175
1.1302,2.3208
1.1248,2.3241
1.1195,2.3273
1.1141,2.3306
1.1087,2.3339
1.1032,2.3371
1.0978,2.3404
1.0923,2.3436
1.0868,2.3468
1.0813,2.35
1.0757,2.3532
1.0702,2.3564
1.0646,2.3596
1.059,2.3627
1.0534,2.3659
1.0477,2.369
1.0421,2.3722
1.0364,2.3753
1.0307,2.3784
1.0249,2.3815
1.0192,2.3846
1.0134,2.3877
1.0076,2.3907
1.0018,2.3938
0.99591,2.3969
0.99004,2.3999
0.98414,2.4029
0.97822,2.4059
0.97227,2.4089
0.9663,2.4119
0.96031,2.4149
0.95429,2.4179
0.94825,2.4208
0.94218,2.4238
0.93609,2.4267
0.92997,2.4296
0.92382,2.4325
0.91766,2.4354
0.91146,2.4383
0.90524,2.4412
0.899,2.444
0.89273,2.4469
0.88643,2.4497
0.88011,2.4525
0.87376,2.4553
0.86739,2.4581
0.86099,2.4609
0.85456,2.4637
0.84811,2.4664
0.84163,2.4691
0.83513,2.4719
0.8286,2.4746
0.82204,2.4773
0.81545,2.48
0.80884,2.4826
0.8022,2.4853
0.79554,2.4879
0.78885,2.4905
0.78213,2.4931
0.77538,2.4957
0.76861,2.4983
0.76181,2.5009
0.75499,2.5034
0.74813,2.506
0.74125,2.5085
0.73435,2.511
0.72741,2.5135
0.72045,2.5159
0.71347,2.5184
0.70645,2.5208
0.69941,2.5232
0.69235,2.5257
0.68525,2.528
0.67813,2.5304
0.67099,2.5328
0.66381,2.5351
0.65662,2.5374
0.64939,2.5397
0.64214,2.542
0.63487,2.5443
0.62756,2.5465
0.62024,2.5487
0.61289,2.5509
0.60551,2.5531
0.59811,2.5553
0.59068,2.5575
0.58323,2.5596
0.57575,2.5617
0.56826,2.5638
0.56073,2.5659
0.55319,2.5679
0.54562,2.57
0.53803,2.572
0.53041,2.574
0.52278,2.5759
0.51512,2.5779
0.50744,2.5798
0.49974,2.5817
0.49202,2.5836
0.48428,2.5855
0.47652,2.5873
0.46874,2.5892
0.46094,2.591
0.45312,2.5927
0.44528,2.5945
0.43743,2.5962
0.42956,2.5979
0.42167,2.5996
0.41377,2.6013
0.40585,2.6029
0.39791,2.6045
0.38996,2.6061
0.382,2.6077
0.37403,2.6093
0.36604,2.6108
0.35804,2.6123
0.35003,2.6137
0.34201,2.6152
0.33398,2.6166
0.32593,2.618
0.31789,2.6194
0.30983,2.6207
0.30176,2.622
0.29369,2.6233
0.28562,2.6246
0.27754,2.6258
0.26945,2.627
0.26136,2.6282
0.25327,2.6294
0.24518,2.6305
0.23709,2.6316
0.229,2.6327
0.229,2.6327
0.22872,2.6293
0.22848,2.6258
0.22828,2.6223
0.2281,2.6189
0.22796,2.6154
0.22784,2.6119
0.22776,2.6084
0.2277,2.6049
0.22767,2.6014
0.22767,2.5979
0.2277,2.5944
0.22776,2.5908
0.22784,2.5873
0.22795,2.5837
0.22808,2.5802
0.22824,2.5766
0.22843,2.5731
0.22864,2.5695
0.22887,2.5659
0.22913,2.5623
0.22941,2.5587
0.22972,2.5551
0.23004,2.5515
0.23039,2.5479
0.23076,2.5443
0.23116,2.5407
0.23157,2.537
0.232,2.5334
0.23246,2.5298
0.23294,2.5261
0.23343,2.5224
0.23395,2.5188
0.23448,2.5151
0.23503,2.5114
0.23561,2.5078
0.2362,2.5041
0.23681,2.5004
0.23743,2.4967
0.23808,2.493
0.23874,2.4893
0.23942,2.4856
0.24012,2.4818
0.24083,2.4781
0.24156,2.4744
0.2423,2.4706
0.24307,2.4669
0.24384,2.4631
0.24464,2.4594
0.24545,2.4556
0.24627,2.4519
0.24711,2.4481
0.24796,2.4443
0.24883,2.4405
0.24971,2.4367
0.25061,2.4329
0.25152,2.4291
0.25244,2.4253
0.25338,2.4215
0.25433,2.4177
0.2553,2.4139
0.25628,2.4101
0.25727,2.4062
0.25827,2.4024
0.25929,2.3986
0.26032,2.3947
0.26136,2.3909
0.26242,2.387
0.26348,2.3832
0.26456,2.3793
0.26565,2.3754
0.26675,2.3715
0.26787,2.3677
0.26899,2.3638
0.27013,2.3599
0.27128,2.356
0.27244,2.3521
0.27361,2.3482
0.27479,2.3443
0.27598,2.3403
0.27718,2.3364
0.27839,2.3325
0.27962,2.3285
0.28085,2.3246
0.28209,2.3207
0.28335,2.3167
0.28461,2.3128
0.28589,2.3088
0.28717,2.3048
0.28846,2.3009
0.28977,2.2969
0.29108,2.2929
0.2924,2.2889
0.29374,2.2849
0.29508,2.2809
0.29643,2.2769
0.29779,2.2729
0.29916,2.2689
0.30053,2.2649
0.30192,2.2609
0.30332,2.2568
0.30472,2.2528
0.30613,2.2488
0.30756,2.2447
0.30899,2.2407
0.31043,2.2366
0.31187,2.2326
0.31333,2.2285
0.3148,2.2244
0.31627,2.2203
0.31775,2.2163
0.31924,2.2122
0.32074,2.2081
0.32224,2.204
0.32376,2.1999
0.32528,2.1958
0.32681,2.1916
0.32835,2.1875
0.32989,2.1834
0.33144,2.1793
0.33301,2.1751
0.33457,2.171
0.33615,2.1668
0.33773,2.1627
0.33933,2.1585
0.34093,2.1543
0.34253,2.1502
0.34415,2.146
0.34577,2.1418
0.3474,2.1376
0.34903,2.1334
0.35068,2.1292
0.35233,2.125
0.35399,2.1208
0.35565,2.1166
0.35733,2.1123
0.35901,2.1081
0.36069,2.1039
0.36239,2.0996
0.36409,2.0954
0.3658,2.0911
0.36751,2.0869
0.36924,2.0826
0.37096,2.0783
0.3727,2.074
0.37444,2.0697
0.3762,2.0655
0.37795,2.0612
0.37972,2.0568
0.38149,2.0525
0.38327,2.0482
0.38505,2.0439
0.38684,2.0395
0.38864,2.0352
0.39045,2.0309
0.39226,2.0265
0.39408,2.0221
0.3959,2.0178
0.39774,2.0134
0.39957,2.009
0.40142,2.0046
0.40327,2.0002
0.40513,1.9958
0.407,1.9914
0.40887,1.987
0.41075,1.9826
0.41264,1.9782
0.41453,1.9737
0.41643,1.9693
0.41834,1.9648
0.42025,1.9604
0.42217,1.9559
0.42409,1.9514
0.42603,1.9469
0.42797,1.9424
0.42991,1.9379
0.43187,1.9334
0.43383,1.9289
0.43579,1.9244
0.43776,1.9199
0.43974,1.9153
0.44173,1.9108
0.44372,1.9062
0.44572,1.9017
0.44773,1.8971
0.44974,1.8925
0.45176,1.888
0.45379,1.8834
0.45582,1.8788
0.45786,1.8742
0.45991,1.8695
0.46196,1.8649
0.46402,1.8603
0.46609,1.8556
0.46817,1.851
0.47025,1.8463
0.47233,1.8416
0.47443,1.837
0.47653,1.8323
0.47864,1.8276
0.47864,1.8276
0.48279,1.8251
0.48694,1.8225
0.49109,1.82
0.49523,1.8174
0.49938,1.8148
0.50352,1.8122
0.50766,1.8096
0.5118,1.807
0.51594,1.8043
0.52008,1.8017
0.52422,1.799
0.52835,1.7963
0.53248,1.7937
0.53662,1.791
0.54075,1.7882
0.54488,1.7855
0.54901,1.7828
0.55313,1.78
0.55726,1.7772
0.56138,1.7745
0.5655,1.7717
0.56962,1.7689
0.57374,1.766
0.57786,1.7632
0.58198,1.7604
0.5861,1.7575
