theta1,theta2
0.52902,2.342
0.53845,2.3398
0.54787,2.3375
0.55729,2.3352
0.56671,2.3328
0.57612,2.3304
0.58552,2.3279
0.59492,2.3254
0.60431,2.3228
0.61369,2.3202
0.62306,2.3175
0.63242,2.3148
0.64177,2.312
0.65111,2.3091
0.66043,2.3062
0.66974,2.3033
0.67903,2.3003
0.68831,2.2973
0.69757,2.2942
0.70682,2.2911
0.71605,2.2879
0.72526,2.2847
0.73445,2.2814
0.74362,2.2781
0.75277,2.2747
0.76191,2.2713
0.77102,2.2679
0.78011,2.2644
0.78918,2.2608
0.79822,2.2572
0.80725,2.2536
0.81625,2.2499
0.82523,2.2462
0.83418,2.2424
0.84311,2.2386
0.85202,2.2348
0.8609,2.2309
0.86976,2.227
0.87859,2.223
0.8874,2.219
0.89618,2.2149
0.90493,2.2109
0.91366,2.2067
0.92237,2.2026
0.93105,2.1983
0.9397,2.1941
0.94833,2.1898
0.95693,2.1855
0.9655,2.1811
0.97405,2.1767
0.98257,2.1723
0.99106,2.1678
0.99953,2.1633
1.008,2.1587
1.0164,2.1541
1.0248,2.1495
1.0331,2.1448
1.0415,2.1401
1.0498,2.1354
1.0581,2.1306
1.0663,2.1258
1.0745,2.121
1.0828,2.1161
1.0909,2.1112
1.0991,2.1062
1.1072,2.1013
1.1153,2.0963
1.1234,2.0912
1.1314,2.0861
1.1395,2.081
1.1475,2.0759
1.1554,2.0707
1.1634,2.0655
1.1713,2.0602
1.1792,2.0549
1.1871,2.0496
1.195,2.0443
1.2028,2.0389
1.2106,2.0335
1.2184,2.028
1.2262,2.0225
1.2339,2.017
1.2416,2.0115
1.2493,2.0059
1.257,2.0003
1.257,2.0003
1.2561,1.9949
1.2553,1.9894
1.2545,1.984
1.2538,1.9784
1.2532,1.9729
1.2525,1.9673
1.252,1.9617
1.2514,1.9561
1.251,1.9504
1.2505,1.9447
1.2502,1.9389
1.2498,1.9331
1.2495,1.9273
1.2493,1.9215
1.2491,1.9156
1.249,1.9097
1.2489,1.9038
1.2488,1.8978
1.2488,1.8918
1.2488,1.8858
1.2489,1.8797
1.249,1.8736
1.2492,1.8675
1.2494,1.8613
1.2496,1.8551
1.2499,1.8489
1.2502,1.8426
1.2506,1.8363
1.251,1.83
1.2515,1.8236
1.252,1.8172
1.2525,1.8108
1.2531,1.8044
1.2537,1.7979
1.2544,1.7913
1.2551,1.7848
1.2559,1.7782
1.2567,1.7716
1.2575,1.7649
