theta1,theta2
1.1065,2.0418
1.1041,2.0419
1.1016,2.042
1.0992,2.0422
1.0968,2.0423
1.0944,2.0424
1.092,2.0426
1.0896,2.0427
1.0872,2.0428
1.0848,2.0429
1.0825,2.043
1.0801,2.043
1.0777,2.0431
1.0753,2.0432
1.073,2.0433
1.0706,2.0433
1.0682,2.0434
1.0659,2.0434
1.0635,2.0434
1.0612,2.0435
1.0588,2.0435
1.0565,2.0435
1.0541,2.0435
1.0518,2.0435
1.0495,2.0435
1.0472,2.0435
1.0449,2.0435
1.0425,2.0435
1.0402,2.0434
1.0379,2.0434
1.0356,2.0433
1.0333,2.0433
1.031,2.0432
1.0287,2.0432
1.0265,2.0431
1.0242,2.043
1.0219,2.0429
1.0196,2.0428
1.0174,2.0427
1.0151,2.0426
1.0129,2.0425
1.0106,2.0424
1.0084,2.0423
1.0061,2.0421
1.0039,2.042
1.0017,2.0418
0.99945,2.0417
0.99723,2.0415
0.99501,2.0414
0.9928,2.0412
0.9906,2.041
0.9884,2.0408
0.9862,2.0406
0.98401,2.0404
0.98183,2.0402
0.97965,2.04
0.97747,2.0398
0.9753,2.0395
0.97314,2.0393
0.97098,2.0391
0.96882,2.0388
0.96668,2.0386
0.96453,2.0383
0.96239,2.038
0.96026,2.0378
0.95813,2.0375
0.95601,2.0372
0.95389,2.0369
0.95178,2.0366
0.94967,2.0363
0.94757,2.036
0.94548,2.0356
0.94338,2.0353
0.9413,2.035
0.93922,2.0346
0.93715,2.0343
0.93508,2.0339
0.93301,2.0336
0.93096,2.0332
0.92891,2.0328
0.92686,2.0324
0.92482,2.0321
0.92278,2.0317
0.92075,2.0313
0.91873,2.0308
0.91671,2.0304
0.9147,2.03
0.91269,2.0296
0.91069,2.0291
0.9087,2.0287
0.90671,2.0282
0.90473,2.0278
0.90275,2.0273
0.90078,2.0269
0.89881,2.0264
0.89685,2.0259
0.8949,2.0254
0.89295,2.0249
0.891,2.0244
0.88907,2.0239
0.88714,2.0234
0.88521,2.0229
0.88329,2.0223
0.88138,2.0218
0.87947,2.0213
0.87757,2.0207
0.87568,2.0202
0.87379,2.0196
0.87191,2.019
0.87003,2.0185
0.86816,2.0179
0.8663,2.0173
0.86444,2.0167
0.86259,2.0161
0.86074,2.0155
0.8589,2.0149
0.85707,2.0143
0.85524,2.0136
0.85342,2.013
0.8516,2.0124
0.8498,2.0117
0.84799,2.0111
0.8462,2.0104
0.84441,2.0097
0.84262,2.0091
0.84085,2.0084
0.83908,2.0077
0.83731,2.007
0.83555,2.0063
0.8338,2.0056
0.83205,2.0049
0.83031,2.0042
0.82858,2.0035
0.82686,2.0027
0.82513,2.002
0.82342,2.0012
0.82171,2.0005
0.82001,1.9997
0.81832,1.999
0.81663,1.9982
0.81495,1.9974
0.81327,1.9967
